15	f˸24ساعت§n-12634	f˸مثال	f˸"در شبانه روز باید6 بار قطره ها را در چشمهایت به فاصله ی 4 ساعت بچکانید"
178	f˸آب سفید§n-19372	f˸تعریف	f˸"بیماری ناشی از تارشدن عدسی یا قرنیه‌ی چشم که مانع از عبور آزادانه نور به شبکیه می‌شود و بینایی را مختل می‌کند"
225	f˸آب معدنی§n-19375	f˸تعریف	f˸"آب چشمه‌ی سرد یا گرم که دارای مواد معدنی و اغلب گازدار است"	
241	f˸آب و تاب دادن§v-15638	f˸ISA	f˸چشم نواز کردن§v-9373	
330	f˸آب§n-13664	f˸مثال	f˸"وقتی پیاز پوست می کند آب از چشمهایش راه افتاده بود"	
331	f˸آب§n-13664	f˸تعریف	f˸"مایعی که در هنگام تحریک چشمها از آنها خارج می شود"	
416	f˸آبخور§n-23366	f˸تعریف	f˸"جایی از رود، هر یا چشمه که می‌توان از آن آب نوشید"	
417	f˸آبخورد#n1	f˸عضو هم‌نشیم	f˸سرچشمه§n-13313	
553	f˸آبریزش§n-23307	f˸تعریف	f˸"ریزش غیر طبیعی آب از چشم و بینی"	
606	f˸آبشار§n-21635	f˸تعریف	f˸"مکانی که آب از رودخانه یا چشمه ای از بالای صخره ای به پایین می رِیزد."	
862	f˸آتاکسی§n-25549	f˸مثال	f˸"آتاکسی می تواند حرکت چشم، تکلم، تک تک اندام ها، تنه یا راه رفتن را گرفتار کند"	
1622	f˸آریزونا§n-20190	f˸مثال	f˸"نام ایالت آریزونا از زبان بومیان منطقه گرفته شده و بمعنای «چشمهٔ کوچک» می‌باشد"	
1903	f˸آستیگماتیسم§n-20796	f˸مثال	f˸"علت آستیگماتیسم بودن چشم شما نامنظم بودن شکل قرنیه چشمتان است."	
1903	f˸آستیگماتیسم§n-20796	f˸مثال	f˸"علت آستیگماتیسم بودن چشم شما نامنظم بودن شکل قرنیه چشمتان است."	
2859	f˸آمبلیوپی§n-25176	f˸مثال	f˸"تنبلی چشم معمولاً در سنین زیر 6 سال ایجاد شده و اغلب توسط والدین کشف می شود"	
2860	f˸آمبلیوپی§n-25176	f˸تعریف	f˸"تنبلی چشم یا آمبلوپی که در حدود 3٪ از افراد دیده می‌شود زمانی رخ می دهد که چشم در دوره کودکی دید طبیعی نداشته باشد"	
2860	f˸آمبلیوپی§n-25176	f˸تعریف	f˸"تنبلی چشم یا آمبلوپی که در حدود 3٪ از افراد دیده می‌شود زمانی رخ می دهد که چشم در دوره کودکی دید طبیعی نداشته باشد"	
4063	f˸ابرمرد§n-20804	f˸مرتبط با	f˸چشمگیر§a-1564	
4371	f˸اتریکول§n-25560	f˸تعریف	f˸"یکی از دو کیسه به هم پیوسته گوش درونی، که مجراهای نیم حلقوی از آن سرچشمه می گیرد و در احساس تعادل دخالت دارد"	
5776	f˸ارتباط دیداری§n-14066	f˸تعریف	f˸"ارتباطی که با چشم امکان پذیر می گردد"	
5860	f˸ارتداد§n-20079	f˸تعریف	f˸"عمل برگشتن و چشم پوشیدن از دین و آیین خویش"	
6163	f˸ارس§n-24124	f˸تعریف	f˸"ارَس نام رودخانه‌ای نسبتاً پرآب و خروشان است که از منطقه آرپا چای در آناتولی ترکیه سرچشمه گرفته است"	
